id,Sex,Length,Diameter,Height,Weight,Shucked Weight,Viscera Weight,Shell Weight,Age
43,I,0.9625,0.75,0.225,6.81805475,2.42388225,1.6159215,2.05533875,6.0
44,M,1.3375,1.1125,0.3625,24.16794875,10.262519,5.17378375,6.6621325,10.0
45,M,1.6,1.2625,0.4,46.13881125,20.68096025,9.00096625,10.489315,14.0
46,I,1.3125,1.0,0.3,17.349894,6.5487345,4.01145425,5.5281525,9.0
47,I,0.825,0.625,0.25,6.44951125,2.70737725,1.304077,2.02698925,7.0
48,M,1.375,1.05,0.3875,20.25571775,8.15048125,4.46504625,7.087375,9.0
49,M,1.675,1.275,0.4375,45.23162725,19.220961,9.3836845,13.60776,10.0
50,M,1.4875,1.2375,0.4,30.7592075,12.85649825,6.973977,8.3631025,10.0
51,I,1.25,0.9625,0.3625,19.504456,8.50485,3.69960975,5.5281525,13.0
52,M,1.7,1.35,0.5375,49.32813,20.36911575,10.7444605,13.4660125,13.0
53,F,1.4375,1.15,0.35,23.7285315,10.24834425,5.62737575,6.6621325,10.0
54,M,1.5,1.2,0.3875,31.62386725,13.947954,6.80388,9.979024,11.0
55,F,1.4125,1.025,0.3625,24.437269,10.546014,6.36446275,7.087375,9.0
56,F,1.4375,1.125,0.4,28.5479465,13.53688625,7.15824875,7.9095105,9.0
57,I,0.7375,0.55,0.2125,3.16096925,1.48834875,0.850485,0.850485,6.0
58,I,1.275,1.0125,0.3125,19.43358225,9.2135875,4.01145425,5.8116475,8.0
59,M,1.65,1.3,0.4375,40.83745475,14.5999925,8.63242275,16.159215,14.0
60,F,1.525,1.2125,0.4125,35.19590425,14.67086625,7.144074,9.63883,13.0
61,F,1.4625,1.175,0.4,26.43590875,11.623295,5.17378375,7.7961125,9.0
62,F,1.45,1.1375,0.45,27.9242575,11.15552825,5.96756975,7.7961125,10.0
63,I,1.3,1.025,0.3125,19.1926115,8.15048125,4.63514325,5.499803,8.0
64,F,1.6,1.2625,0.375,32.16250775,14.44407025,7.78193775,8.3631025,12.0
65,F,1.075,0.85,0.2625,10.886208,4.52174525,2.22543575,3.40194,7.0
66,M,1.375,1.0375,0.3375,23.019794,8.4198015,5.82582225,6.9456275,14.0
67,I,1.1,0.8125,0.25,11.55242125,5.91087075,2.25378525,2.9766975,7.0
68,I,1.3375,1.075,0.3125,23.91280325,11.8784405,4.5642695,6.23689,9.0
69,I,0.875,0.675,0.225,5.5848515,2.19708625,0.94970825,1.70097,6.0
70,I,0.95,0.6875,0.2125,6.1518415,2.664853,1.3324265,1.644271,8.0
71,F,1.425,1.1375,0.425,30.34813975,10.829509,6.2085405,10.20582,14.0
72,I,1.25,0.9625,0.3625,17.463292,7.087375,3.52951275,5.2446575,9.0
73,M,1.575,1.2125,0.4625,30.1922175,12.06271225,6.8322295,9.07184,11.0
74,I,1.1,0.875,0.3,12.34620725,5.71242425,2.608154,3.685435,8.0
75,F,1.8,1.4125,0.475,51.49686675,22.1976585,11.60912025,13.7495075,12.0
76,M,1.3125,1.0375,0.425,22.169309,7.7961125,4.9044635,8.0796075,14.0
77,F,1.8,1.4125,0.475,50.7739545,16.4710595,9.241937,15.4504775,17.0
78,M,1.275,1.0125,0.4125,22.11261,7.72523875,4.66349275,10.6310625,21.0
79,M,1.7125,1.325,0.5625,43.02036625,18.5122235,11.49572225,11.623295,10.0
80,F,1.525,1.2125,0.4,36.967748,12.79979925,7.10154975,11.623295,16.0
81,M,1.575,1.25,0.4375,37.1094955,15.77649675,7.6827145,10.3475675,11.0
82,I,0.8375,0.65,0.2,5.08873525,1.91359125,1.09145575,1.70097,5.0
83,F,1.4875,1.175,0.4125,31.9498865,14.27397325,6.973977,8.0796075,8.0
84,M,1.4375,1.1125,0.3375,24.097075,10.149121,4.86193925,6.42116175,8.0
85,F,1.5625,1.2625,0.425,37.57726225,16.23008875,9.00096625,10.0640725,10.0
86,I,0.4125,0.275,0.0875,0.510291,0.18427175,0.15592225,0.1417475,4.0
87,M,1.3125,0.975,0.3125,16.40018575,7.04485075,3.7137845,4.9611625,9.0
88,F,1.5625,1.225,0.3875,30.4190135,13.4093135,6.520385,8.0796075,10.0
89,I,1.1,0.8375,0.3,11.169703,5.71242425,2.26796,2.9766975,6.0
90,F,1.4125,1.0625,0.3375,22.566202,11.1413535,4.60679375,5.2446575,8.0
91,M,1.35,1.0375,0.4,25.51455,9.36950975,5.71242425,7.37087,11.0
92,F,1.225,0.975,0.3375,17.76096175,6.05261825,4.09650275,5.2446575,13.0
93,F,1.325,1.0625,0.4125,22.75047375,9.85145125,5.34388075,6.9456275,8.0
94,I,0.825,0.625,0.1875,5.10291,2.59397925,1.20485375,1.5592225,6.0
95,F,1.575,1.2125,0.425,31.22697425,13.4660125,7.597666,8.9300925,11.0
96,M,1.625,1.2375,0.425,34.5580405,17.4349425,6.67630725,8.5331995,13.0
97,M,1.425,1.1,0.4125,25.0326085,10.70193625,5.71242425,7.7961125,9.0
98,M,1.6125,1.2875,0.5,33.26813825,14.52911875,7.8528115,9.02931575,12.0
99,F,1.2,0.95,0.3125,16.40018575,7.04485075,3.04757125,4.9611625,9.0
100,F,1.6,1.2625,0.4,36.4291075,17.57669,8.278054,9.922325,9.0
101,I,1.2125,0.925,0.3375,17.59086475,7.3425205,4.139027,4.3941725,8.0
102,F,1.5375,1.1875,0.375,32.6302745,13.79203175,8.0229085,9.2135875,10.0
103,M,1.3125,1.0375,0.4,18.597272,7.711064,4.252425,6.23689,9.0
104,M,1.55,1.2125,0.425,30.71668325,14.67086625,6.010094,8.9300925,10.0
105,I,1.375,1.0625,0.35,22.58037675,10.41844125,4.592619,5.386405,8.0
106,I,1.1,0.875,0.275,11.09882925,4.6776675,2.8066005,3.685435,10.0
107,I,0.9875,0.7375,0.25,9.4970825,5.6699,1.927766,2.324659,7.0
108,I,1.1875,0.8875,0.3625,12.870673,5.6982495,3.175144,4.9611625,11.0
109,M,1.525,1.2,0.525,35.210079,11.43902325,8.391452,10.20582,10.0
110,M,0.9625,0.725,0.2375,7.98038425,3.175144,1.7293195,2.26796,8.0
111,M,1.6625,1.3625,0.4625,43.1762885,17.39241825,9.76640275,12.40290625,12.0
112,I,1.2375,0.9625,0.3125,14.72756525,5.91087075,2.608154,4.6776675,10.0
113,I,1.125,0.85,0.275,11.7650425,4.9611625,2.324659,3.40194,8.0
114,I,1.1,0.8,0.2625,10.6310625,4.46504625,2.9199985,3.40194,7.0
115,M,1.45,1.125,0.35,23.48756075,10.41844125,5.216308,6.6621325,9.0
116,I,1.2125,0.9125,0.325,14.5999925,5.88252125,3.742134,4.2807745,8.0
117,I,0.8125,0.625,0.2,5.5848515,2.65067825,1.00640725,1.28990225,6.0
118,I,1.1625,0.9,0.275,13.11164375,6.577084,3.0333965,3.04757125,8.0
119,M,1.5,1.175,0.4,27.9242575,12.47378,6.16601625,7.3425205,10.0
120,M,1.475,1.1125,0.4125,29.8520235,12.984071,6.30776375,8.50485,23.0
121,I,1.0125,0.7625,0.25,8.845044,3.515338,1.70097,2.6932025,7.0
122,I,0.7125,0.525,0.15,2.62232875,1.17650425,0.623689,0.963883,8.0
123,F,1.4,1.1125,0.3875,25.58542375,11.35397475,6.4353365,6.3786375,8.0
124,I,1.2125,0.9375,0.3,13.60776,5.556502,2.70737725,3.8271825,7.0
125,M,1.225,0.9625,0.375,16.93882625,6.70465675,3.515338,6.0951425,14.0
126,F,1.3125,1.0,0.4125,21.64484325,9.25611175,4.479221,5.386405,10.0
127,I,0.775,0.5875,0.1875,4.309124,1.71514475,1.4458245,1.2757275,7.0
128,M,1.4375,1.125,0.425,30.94347925,14.13222575,7.47009325,9.2135875,13.0
129,M,1.675,1.35,0.4875,45.529297,21.3471735,9.39785925,14.17475,12.0
130,M,1.125,0.875,0.2625,14.5999925,5.4147545,2.721552,4.9611625,10.0
131,M,1.5375,1.1875,0.4,32.431828,14.72756525,7.1724235,9.7805775,11.0
132,I,1.1125,0.8375,0.2875,11.850091,4.83358975,2.1262125,2.83495,7.0
133,I,1.1875,0.925,0.3375,15.3370795,6.8322295,2.87747425,4.9611625,10.0
134,M,1.4,1.125,0.425,25.58542375,9.87980075,5.4714535,7.0590255,9.0
135,F,1.575,1.225,0.45,33.8776525,13.62193475,7.27164675,9.355335,10.0
136,M,1.8,1.425,0.5125,59.20793075,28.10852925,10.4042665,14.17475,11.0
137,M,1.3625,1.05,0.35,24.8625115,11.0846545,6.5487345,6.3786375,9.0
138,I,1.3625,1.05,0.35,22.1409595,10.092422,4.55009475,6.3786375,9.0
139,I,0.925,0.7,0.25,7.711064,3.30271675,1.43164975,2.494756,9.0
140,I,1.0875,0.8125,0.275,11.38232425,5.28718175,2.381358,2.9766975,8.0
141,F,1.575,1.2125,0.475,34.7848365,9.8372765,8.37727725,10.77281,17.0
142,M,1.525,1.175,0.375,32.2333815,14.92601175,6.93145275,7.824462,9.0
143,I,0.7,0.525,0.15,2.45223175,1.1056305,0.623689,0.9355335,4.0
144,M,1.1625,0.95,0.2625,16.68368075,5.74077375,4.26659975,4.35164825,9.0
145,M,1.525,1.2,0.4125,30.83008125,14.04717725,7.01650125,8.788345,9.0
146,I,1.1625,0.875,0.2625,11.509897,5.443104,2.2963095,3.685435,6.0
147,F,1.4125,1.1,0.3875,26.2232875,11.793392,6.95980225,7.654365,9.0
148,I,0.9375,0.6875,0.2625,6.30776375,2.6365035,1.31825175,2.1262125,8.0
149,I,1.1,0.85,0.25,10.9145575,4.72019175,2.2963095,3.5436875,8.0
150,M,1.2875,0.95,0.3625,18.5689225,7.52679225,4.082328,5.2446575,15.0
151,I,1.225,0.9375,0.3125,18.6256215,6.08096775,4.40834725,6.6621325,17.0
152,I,1.075,0.8375,0.275,11.679994,5.443104,2.891649,3.1467945,8.0
153,M,1.4875,1.15,0.3625,23.700182,11.35397475,5.17378375,6.6621325,10.0
154,F,1.8375,1.4625,0.4875,49.34230475,21.772416,9.11436425,14.5999925,16.0
155,M,1.6,1.275,0.4375,42.127357,15.37960375,7.881161,11.7650425,12.0
156,F,1.2,0.875,0.2875,13.8062065,6.4353365,3.0333965,3.16096925,7.0
157,I,1.125,0.85,0.3125,12.43125575,5.03203625,2.608154,3.40194,8.0
158,F,1.425,1.1625,0.4,25.51455,11.12717875,6.67630725,8.50485,11.0
159,M,1.4875,1.1875,0.375,31.3828965,11.623295,5.9250455,7.7961125,11.0
160,I,1.05,0.775,0.25,7.98038425,4.09650275,1.43164975,2.4097075,7.0
161,I,0.9625,0.7,0.2125,7.9095105,3.27436725,1.6726205,2.26796,8.0
162,I,1.0375,0.8,0.2375,8.8733935,3.912231,1.70097,2.551455,8.0
163,F,1.4375,1.125,0.425,29.44095575,10.149121,6.42116175,8.3631025,14.0
164,F,1.5375,1.1875,0.4,27.8108595,13.9196045,5.71242425,7.5126175,9.0
165,F,1.4,1.0625,0.35,21.64484325,8.09378225,4.91863825,5.953395,10.0
166,F,1.6125,1.3,0.45,37.37881575,12.11941125,8.37727725,11.623295,15.0
167,I,0.925,0.7,0.2,6.0384435,3.04757125,1.17650425,1.984465,6.0
168,M,1.3125,1.0625,0.3875,21.4038725,7.767763,4.55009475,8.0796075,19.0
169,F,1.5875,1.2625,0.4625,36.457457,18.824068,6.8889285,9.355335,11.0
170,F,1.5375,1.175,0.45,32.16250775,10.61688775,6.81805475,11.056305,14.0
171,I,0.975,0.725,0.25,6.30776375,2.6365035,0.793786,2.1262125,7.0
172,F,1.6625,1.325,0.425,42.921143,19.9863975,8.43397625,12.190285,10.0
173,I,0.8,0.6,0.225,5.3013565,1.91359125,1.11980525,1.644271,8.0
174,M,1.575,1.2125,0.375,34.0194,15.8473705,7.881161,8.9300925,10.0
175,M,1.6625,1.25,0.5,45.7844425,17.463292,10.2341695,13.82038125,11.0
176,M,1.4,1.075,0.375,23.51591025,10.092422,5.3580555,6.747181,8.0
177,M,1.6375,1.2875,0.4625,38.34269875,12.54465375,7.597666,11.4815475,16.0
178,I,0.9625,0.7125,0.25,6.8889285,2.65067825,1.48834875,2.1262125,9.0
179,M,1.7,1.375,0.375,47.230267,21.04950375,9.22776225,10.602713,12.0
180,M,1.375,1.1,0.4125,25.16018125,11.566596,5.57067675,7.4559185,9.0
181,F,1.6625,1.3375,0.4,43.21881275,20.1564945,9.22776225,9.4970825,9.0
182,M,1.45,1.1625,0.35,26.32251075,10.6877615,6.6621325,8.06543275,13.0
183,M,1.3,1.025,0.3875,18.313777,8.20718025,4.3941725,6.23689,11.0
184,I,1.3375,1.05,0.35,24.08290025,10.3475675,4.4508715,7.087375,10.0
185,M,1.425,1.1,0.3,24.56484175,11.0846545,5.57067675,5.5281525,14.0
186,I,1.1,0.775,0.2875,11.24057675,5.6982495,1.97029025,3.35941575,7.0
187,I,1.15,0.875,0.325,13.437663,5.839997,3.04757125,4.252425,8.0
188,M,1.7125,1.2875,0.475,45.7277435,22.55202725,10.2341695,13.4660125,9.0
189,M,1.7375,1.3875,0.45,47.116869,20.79435825,10.8011595,12.3320325,19.0
190,M,1.3625,1.025,0.3125,21.27629975,10.6310625,4.91863825,5.2446575,10.0
191,I,0.9125,0.675,0.2625,7.55514175,3.2601925,1.77184375,2.26796,6.0
192,M,1.4125,1.1875,0.375,27.9242575,9.922325,5.0745605,10.0640725,14.0
193,I,0.6875,0.5125,0.15,2.721552,1.0489315,0.52446575,0.850485,5.0
194,I,0.9375,0.725,0.2375,7.2858215,3.24601775,1.54504775,2.438057,7.0
195,F,1.175,0.8625,0.3125,13.8062065,5.6699,3.061746,4.3941725,9.0
196,I,0.6875,0.5125,0.1625,2.2963095,0.94970825,0.52446575,0.9922325,6.0
197,I,1.375,1.0875,0.325,20.87940675,8.09378225,4.365823,6.0951425,9.0
198,F,1.4625,1.1625,0.45,31.6096925,11.26892625,6.4920355,9.4970825,20.0
199,M,1.5,1.175,0.3625,32.601925,15.80484625,6.30776375,8.788345,9.0
200,I,1.4125,1.1,0.425,28.02348075,11.453198,6.59125875,8.221355,10.0
201,I,1.2875,0.9875,0.35,16.76872925,9.355335,3.061746,4.7343665,8.0
202,I,1.6125,1.2625,0.375,31.9498865,15.0535845,5.953395,10.0640725,10.0
203,M,1.5375,1.175,0.375,31.39707125,12.82814875,7.64019025,8.9300925,10.0
204,F,1.6125,1.275,0.45,47.95317925,15.4504775,10.36174225,11.90679,24.0
205,I,1.5375,1.1875,0.3625,29.44095575,14.061352,6.13766675,7.37087,8.0
206,F,1.175,0.8875,0.2875,12.74310025,5.556502,2.948348,4.252425,7.0
207,M,1.625,1.3125,0.475,36.173962,14.35902175,6.39281225,12.0485375,10.0
208,F,1.5125,1.1875,0.4125,31.19862475,13.50853675,6.36446275,9.4970825,11.0
209,F,1.7875,1.375,0.4875,51.7378375,22.5945515,10.999606,11.4815475,13.0
210,F,1.675,1.3,0.4375,38.11590275,15.138633,7.89533575,10.942907,14.0
211,F,1.5,1.2,0.4,30.51823675,13.947954,6.690482,6.23689,11.0
212,F,1.4125,1.1,0.3875,22.566202,9.62465525,5.6699,6.9456275,9.0
213,F,1.3125,1.025,0.3625,20.6100865,7.78193775,4.60679375,7.7961125,12.0
214,M,1.3375,1.1,0.4125,29.27085875,13.11164375,6.6054335,7.5126175,9.0
215,F,1.525,1.175,0.4,34.6147395,15.52135125,7.3992195,8.788345,10.0
216,I,1.1,0.85,0.3,13.9196045,4.80524025,2.5231055,3.40194,7.0
217,F,1.7,1.3125,0.4625,43.7432785,19.46193175,8.15048125,12.3320325,13.0
218,M,1.1,0.85,0.2625,15.66309875,4.819415,3.07592075,5.5281525,15.0
219,F,1.525,1.2,0.4375,31.19862475,14.911837,7.10154975,8.3631025,9.0
220,I,0.8625,0.7,0.2375,6.1518415,2.50893075,1.40330025,2.26796,6.0
221,M,1.3625,1.025,0.3125,23.45921125,10.16329575,4.57844425,5.953395,10.0
222,I,1.3625,1.0375,0.3625,22.38193025,9.79475225,3.8838815,6.0951425,16.0
223,I,1.3125,1.025,0.3,18.55474775,7.597666,3.9405805,5.6699,13.0
224,I,0.4875,0.325,0.025,0.8221355,0.38271825,0.226796,0.283495,4.0
225,M,1.55,1.1875,0.4125,37.35046625,19.6462035,8.71747125,8.788345,12.0
226,I,0.7,0.475,0.2125,3.6003865,1.360776,0.850485,0.850485,8.0
227,I,1.0375,0.8,0.25,8.107957,3.69960975,1.587572,2.6932025,7.0
228,F,1.6125,1.275,0.5125,39.179009,12.79979925,9.14271375,11.90679,15.0
229,F,1.3375,1.05,0.3375,19.43358225,9.2702865,4.3941725,5.8116475,8.0
230,F,1.0875,0.825,0.3125,11.89261525,4.87980075,2.84912475,3.685435,7.0
231,I,1.0375,0.7625,0.2875,9.19941275,4.989512,2.08368825,2.4664065,7.0
232,M,1.3875,1.1,0.45,22.6796,11.793392,4.9044635,6.520385,10.0
233,M,0.6625,0.5125,0.15,2.16873675,0.963883,0.396893,0.60951425,9.0
234,I,1.3125,1.0,0.35,19.06503875,7.314171,3.81300775,5.953395,9.0
235,M,1.4375,1.125,0.3625,27.51318975,13.08329425,7.0023265,6.80388,10.0
236,M,1.625,1.275,0.4125,37.0527965,14.92601175,8.9300925,9.7805775,10.0
237,I,1.125,0.875,0.35,14.81261375,6.84640425,3.345241,3.4869885,7.0
238,M,1.4875,1.175,0.375,29.95124675,12.99824575,6.2652395,7.5126175,10.0
239,F,1.1,0.8,0.275,11.509897,5.9250455,2.33883375,3.40194,7.0
240,F,1.6375,1.275,0.475,41.31939625,18.9091165,9.128539,11.3398,9.0
241,M,1.6125,1.2375,0.4,36.7693015,17.8318355,7.0023265,8.9300925,8.0
242,I,0.9375,0.6875,0.2125,6.16601625,2.7499015,1.077281,1.984465,7.0
243,M,1.575,1.2625,0.375,34.31706975,15.025235,7.15824875,8.9300925,9.0
244,M,1.475,1.1875,0.3625,28.122704,10.81533425,6.90310325,7.654365,14.0
245,F,1.525,1.225,0.4875,33.43823525,12.7289255,6.0951425,9.82310175,13.0
246,F,1.475,1.1625,0.3875,27.555714,12.0485375,6.690482,7.087375,10.0
247,F,1.1,0.9125,0.325,14.2030995,6.2652395,3.01922175,4.6776675,8.0
248,F,1.175,0.925,0.325,13.664459,5.443104,2.99087225,4.3941725,9.0
249,F,1.2125,0.925,0.3125,21.36134825,11.8784405,4.06815325,4.876114,8.0
250,I,0.9375,0.725,0.25,7.72523875,3.33106625,1.82854275,2.4097075,6.0
251,I,0.525,0.375,0.1125,1.31825175,0.5386405,0.4252425,0.35436875,4.0
252,I,1.175,0.9375,0.2625,13.8062065,5.443104,2.2963095,4.819415,9.0
253,I,0.975,0.7,0.25,7.144074,3.0900955,1.70097,2.05533875,7.0
254,I,1.225,0.9375,0.3125,13.99047825,5.51397775,3.4869885,4.1106775,8.0
255,F,1.3875,1.0875,0.4125,24.42309425,8.34892775,4.422522,7.2291225,22.0
256,M,1.25,0.95,0.3,15.8473705,7.64019025,3.44446425,4.819415,8.0
257,M,1.7125,1.375,0.3875,41.8722115,18.824068,9.51125725,10.035723,11.0
258,F,1.5125,1.2,0.3875,29.937072,12.96989625,6.90310325,9.355335,11.0
259,I,1.25,0.9375,0.3125,14.52911875,6.4920355,2.9199985,4.819415,8.0
260,M,1.5625,1.2125,0.4375,36.740952,12.82814875,5.8683465,9.7805775,17.0
261,F,1.4,1.0875,0.425,25.35862775,9.07184,5.40057975,8.50485,17.0
262,M,0.75,0.5625,0.2125,3.3168915,1.20485375,0.75126175,1.417475,12.0
263,I,0.4,0.3,0.0625,0.680388,0.2551455,0.15592225,0.1417475,5.0
264,I,1.425,1.125,0.35,25.86891875,10.149121,5.40057975,7.2291225,11.0
265,I,1.25,0.9375,0.35,13.891255,5.499803,3.01922175,5.1312595,8.0
266,I,1.025,0.7875,0.225,8.50485,3.6570855,1.7860185,2.4097075,6.0
267,I,0.675,0.5125,0.175,2.8066005,1.020582,0.32601925,0.9922325,3.0
268,M,1.375,1.05,0.3625,30.1922175,12.26115875,6.80388,8.0796075,15.0
269,M,1.75,1.3375,0.425,45.40172425,21.36134825,10.24834425,11.12717875,13.0
270,I,1.025,0.775,0.25,7.9662095,3.55786225,1.48834875,2.4097075,8.0
271,F,1.3375,0.9875,0.3125,18.75319425,9.05766525,3.78465825,4.3941725,9.0
272,M,1.1375,0.9375,0.2875,14.55746825,6.0951425,4.082328,3.8271825,7.0
273,I,0.9375,0.7,0.225,6.90310325,3.061746,1.247378,1.984465,7.0
274,I,0.7375,0.55,0.1875,3.628736,1.70097,0.56699,0.9922325,7.0
275,F,1.5875,1.25,0.3875,34.8415355,15.1669825,8.221355,9.4970825,11.0
276,M,1.25,1.025,0.4,20.11397025,6.350288,4.649318,6.6621325,14.0
277,M,1.2625,1.0,0.3125,18.80989325,6.13766675,3.9405805,5.953395,10.0
278,M,1.2875,0.975,0.3375,16.9813505,6.350288,3.38776525,4.9611625,8.0
279,I,1.1,0.85,0.275,11.89261525,3.912231,2.93417325,3.685435,7.0
280,I,1.0875,0.8375,0.2625,11.89261525,4.706017,2.65067825,3.685435,7.0
281,M,1.525,1.175,0.375,28.02348075,13.93377925,5.54232725,7.484268,11.0
282,I,1.1,0.8625,0.3,11.7650425,4.91863825,2.381358,3.40194,8.0
283,F,1.475,1.125,0.4125,26.32251075,10.47514025,6.56290925,8.50485,19.0
284,F,1.775,1.4,0.4875,51.24172125,22.69377475,12.076887,14.458245,13.0
285,M,1.6,1.3125,0.4,39.70347475,20.36911575,7.52679225,9.355335,9.0
286,M,1.55,1.2,0.4,30.40483875,13.380964,6.520385,8.674947,13.0
287,M,1.5625,1.3125,0.5125,42.354153,20.56756225,8.7599955,9.8372765,12.0
288,F,1.4875,1.1875,0.3625,29.3417325,13.5227115,7.66853975,7.087375,10.0
289,M,1.475,1.125,0.35,27.9242575,12.23280925,6.2652395,7.0590255,10.0
290,F,1.425,1.125,0.4,24.8058125,10.75863525,4.20990075,7.2291225,11.0
291,M,1.375,1.15,0.3875,27.6974615,7.78193775,5.953395,9.19941275,15.0
292,M,1.5375,1.1875,0.4625,28.44872325,11.8784405,6.87475375,9.355335,15.0
293,I,1.3875,1.0875,0.4125,24.323871,9.73805325,5.71242425,7.7961125,16.0
294,F,1.5625,1.2,0.4125,31.00017825,12.85649825,7.3425205,9.4970825,11.0
295,F,1.1,0.8375,0.3375,11.94931425,4.7910655,2.42388225,3.8271825,9.0
296,M,1.5125,1.1875,0.375,31.808139,14.72756525,6.64795775,8.9300925,10.0
297,M,1.325,1.0375,0.3875,20.05727125,7.83863675,4.592619,6.3786375,11.0
298,M,1.45,1.0875,0.35,24.28134675,10.19164525,4.86193925,8.3631025,14.0
299,M,1.5375,1.2375,0.4375,36.81182575,13.947954,9.56795625,11.77921725,19.0
300,M,1.4125,1.1625,0.4,29.7386255,12.94154675,5.40057975,8.50485,13.0
301,M,1.125,0.8875,0.275,13.25339125,5.42892925,2.664853,3.8271825,8.0
302,I,0.6375,0.4875,0.1375,2.28213475,1.0489315,0.56699,0.8788345,6.0
303,F,1.5625,1.2625,0.4,34.58639,14.33067225,8.23552975,9.7805775,11.0
304,F,1.475,1.1875,0.425,30.1922175,14.0330025,6.08096775,8.221355,8.0
305,I,1.125,0.825,0.25,10.546014,10.149121,2.551455,3.38776525,7.0
306,M,1.625,1.3125,0.5375,50.4337605,20.6100865,10.24834425,12.6155275,14.0
307,F,1.675,1.3,0.4875,44.38114225,19.6462035,7.83863675,14.17475,17.0
308,M,1.45,1.0875,0.3875,27.65493725,11.453198,6.690482,7.93786,13.0
309,M,1.7,1.3125,0.4375,42.82191975,20.638436,8.57572375,12.3320325,9.0
310,I,0.9375,0.7125,0.2125,6.23689,2.721552,1.5025235,1.984465,8.0
311,I,1.1875,0.875,0.35,14.61416725,6.02426875,2.70737725,3.8271825,8.0
312,F,1.5625,1.175,0.425,31.18445,11.1413535,7.10154975,9.07184,13.0
313,F,1.4625,1.1625,0.375,29.540179,10.9145575,6.690482,10.886208,10.0
